"session_start_timestamp","feature","feature_start_timestamp","feature_start_timer","feature_end_timer"
2019-02-16 01:39:12,"f.quantile_50","02/16/2019 01:39:14",1550299154272.31,1550299154278.29
2019-02-16 01:39:12,"f.quantile_60","02/16/2019 01:39:14",1550299154280.29,1550299154287.27
2019-02-16 01:39:12,"f.quantile_70","02/16/2019 01:39:14",1550299154288.27,1550299154295.25
2019-02-16 01:39:12,"f.quantile_75","02/16/2019 01:39:14",1550299154296.25,1550299154303.2
2019-02-16 01:39:12,"f.quantile_80","02/16/2019 01:39:14",1550299154304.22,1550299154311.18
2019-02-16 01:39:12,"f.quantile_90","02/16/2019 01:39:14",1550299154312.18,1550299154319.16
2019-02-16 01:39:12,"f.quantile_95","02/16/2019 01:39:14",1550299154320.18,1550299154327.16
2019-02-16 01:39:12,"f.first.min","02/16/2019 01:39:14",1550299154329.16,1550299154331.16
2019-02-16 01:39:12,"f.first.max","02/16/2019 01:39:14",1550299154333.15,1550299154335.14
2019-02-16 01:39:12,"f.find.peaks","02/16/2019 01:39:14",1550299154337.14,1550299154342.12
2019-02-16 01:39:12,"f.count.peaks","02/16/2019 01:39:14",1550299154343.12,1550299154348.1
2019-02-16 01:39:12,"f.which.below.1sigma","02/16/2019 01:39:14",1550299154349.1,1550299154354.08
2019-02-16 01:39:12,"f.which.above.1sigma","02/16/2019 01:39:14",1550299154355.08,1550299154360.08
2019-02-16 01:39:12,"f.which.below.2sigma","02/16/2019 01:39:14",1550299154361.07,1550299154367.03
2019-02-16 01:39:12,"f.which.above.2sigma","02/16/2019 01:39:14",1550299154368.03,1550299154373.03
2019-02-16 01:39:12,"f.which.below.3sigma","02/16/2019 01:39:14",1550299154374.01,1550299154379
2019-02-16 01:39:12,"f.which.above.3sigma","02/16/2019 01:39:14",1550299154380.99,1550299154386.01
2019-02-16 01:39:12,"f.autocorrelation.lag1.string","02/16/2019 01:39:14",1550299154391.99,1550299154401.96
2019-02-16 01:39:12,"f.autocorrelation.lag1.1st.val","02/16/2019 01:39:14",1550299154403.96,1550299154413.51
2019-02-16 01:39:12,"f.autocorrelation.lag1.2nd.val","02/16/2019 01:39:14",1550299154415.5,1550299154426.47
2019-02-16 01:39:12,"f.autocorrelation.lag2.string","02/16/2019 01:39:14",1550299154427.46,1550299154438.44
2019-02-16 01:39:12,"f.autocorrelation.lag2.1st.val","02/16/2019 01:39:14",1550299154439.44,1550299154449.41
2019-02-16 01:39:12,"f.autocorrelation.lag2.2nd.val","02/16/2019 01:39:14",1550299154451.41,1550299154461.36
2019-02-16 01:39:12,"f.partial.autocorrelation.lag1.string","02/16/2019 01:39:14",1550299154462.35,1550299154481.32
2019-02-16 01:39:12,"f.partial.autocorrelation.lag1.1st.val","02/16/2019 01:39:14",1550299154483.32,1550299154502.25
2019-02-16 01:39:12,"f.partial.autocorrelation.lag1.2nd.val","02/16/2019 01:39:14",1550299154503.24,1550299154522.22
2019-02-16 01:39:12,"f.partial.autocorrelation.lag2.string","02/16/2019 01:39:14",1550299154523.22,1550299154542.74
2019-02-16 01:39:12,"f.partial.autocorrelation.lag2.1st.val","02/16/2019 01:39:14",1550299154543.73,1550299154562.68
2019-02-16 01:39:12,"f.partial.autocorrelation.lag2.2nd.val","02/16/2019 01:39:14",1550299154564.68,1550299154583.66
